,pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y,lon,lat
74,2015000513.0,1.0,1.0,2.0,4000.0,526.0,,13.0,,,,,,11.0,2015.0,12.0,18.0,4.0,5.0,3.0,2.0,1.0,0.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,9.0,9.0,9.0,3.0,3.0,2.0,3.0,31.0,311.0,0.0,13.0,1.0,198858.0,748582.0,34.984447385642994,32.831793717591616
111,2015000815.0,1.0,1.0,1.0,4000.0,1169.0,190.0,,18380089.0,,,,,11.0,2015.0,11.0,59.0,4.0,1.0,4.0,3.0,4.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,8.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,201361.0,745555.0,35.011238811068964,32.80454376961306
128,2015000945.0,1.0,1.0,1.0,4000.0,988.0,592.0,,17340323.0,,,,,11.0,2015.0,6.0,65.0,4.0,1.0,4.0,3.0,2.0,0.0,3.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,196626.0,746612.0,34.960657918197846,32.81398639313027
135,2015001004.0,1.0,1.0,2.0,4000.0,210.0,,1.0,,,,,,11.0,2015.0,7.0,52.0,4.0,1.0,3.0,3.0,1.0,0.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,3.0,3.0,1.0,3.0,31.0,311.0,0.0,13.0,1.0,206722.0,746255.0,35.068468021475,32.81093082393144
206,2015001475.0,1.0,1.0,2.0,4000.0,413.0,,9999.0,,,,,,11.0,2015.0,12.0,83.0,4.0,5.0,7.0,3.0,3.0,0.0,3.0,1.0,1.0,3.0,5.0,3.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,3.0,199243.0,747002.0,34.98859368500654,32.817554253622646
251,2015001763.0,1.0,1.0,2.0,4000.0,215.0,,62.0,,,,,,11.0,2015.0,4.0,41.0,2.0,1.0,4.0,2.0,15.0,0.0,3.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,207435.0,747063.0,35.076070725620575,32.81822451794615
298,2015002072.0,1.0,1.0,2.0,4000.0,546.0,,9999.0,,,,,,11.0,2015.0,2.0,42.0,4.0,1.0,5.0,1.0,1.0,3.0,0.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,1.0,2.0,1.0,3.0,31.0,311.0,0.0,13.0,3.0,198207.0,748722.0,34.97749142369737,32.8330436627472
347,2015002433.0,1.0,1.0,2.0,4000.0,554.0,,9999.0,,,,,,11.0,2015.0,4.0,60.0,3.0,1.0,4.0,3.0,2.0,0.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,3.0,196295.0,747467.0,34.957102155263115,32.82168885993978
418,2015002847.0,1.0,1.0,1.0,4000.0,360.0,357.0,,130223.0,,,,,11.0,2015.0,4.0,93.0,3.0,5.0,2.0,3.0,8.0,0.0,3.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,2.0,2.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,199820.0,747254.0,34.99474979323278,32.8198369722772
455,2015003176.0,1.0,1.0,1.0,4000.0,129.0,264.0,,18380039.0,,,,,11.0,2015.0,8.0,48.0,4.0,1.0,2.0,3.0,2.0,0.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,206544.0,749125.0,35.066527421365464,32.83680721686629
